model,id,lang,preset,voice,duration_s,latency_s,rtf,wer,entity_recall,hyp
small,07_vhf_en_voice_report,en,typical,espeak-ng:en-gb,26.03,2.769,0.106,0.986,0.056,(Police radio)
small,07_vhf_en_voice_report,en,harsh,espeak-ng:en-gb,26.03,2.268,0.087,0.986,0.056,(Police radio chatter)
small,07_vhf_en_voice_report,en,clean,espeak-ng:en-us+m3,25.34,18.918,0.747,0.8,0.0,"Talin Rabid-O, Talin Rabid-O is in motorbass. Oh Nordlin, Nordlin calls. I'm Lima, Alpha, Romeo, Nuluan, Channel 1, 6 over Nordlin. This is Talin Rabid-O. Go ahead over Talin Rabid-O is in Nordlin. Secure it, secure it. We have a container, a briefed information. I'm the green tooth. I'm basimil. 3 minutes north, Miro 2 for the green. For Miro, basimil. 1 minute, ceased container. In partly submerged, vanger to navigation over."
small,07_vhf_en_voice_report,en,typical,espeak-ng:en-us+m3,25.4,17.435,0.686,0.929,0.0,"Palin Rabid-O Palin Rabid-O is in motor-metal Nordlin Nordlin Calls I leave a helper, Obe-O-Noo-Loo on channel 1-6 Obe-Nordlin is in Palin Rabid-O, go ahead Obe-Palin Rabid-O is in Nordlin Secure it Secure it We have a container of ripped information I'm I'm the green I'm basable 3 minutes North Nero 2 for the green For Nero basable 1 minute C. Spaner in partly submerged Banger to navigation over"
small,07_vhf_en_voice_report,en,harsh,espeak-ng:en-us+m3,25.4,20.813,0.819,1.243,0.0,(Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the instructions) (Pilot reading the
turbo,06_vhf_pl_voice_report,pl,clean,espeak-ng:pl,25.19,10.652,0.423,0.396,0.182,"Dynia radio, dynia radio, tu jednostka Bałtyk, Bałtyk odbiór, dynia radio, Bałtyk odbiór, dynia radio, tu Bałtyk, moja policja 54 stopnie 30 dnia minuty, północnero 18 stopni 48 minut wśród, obserwuję jednostkę bez świateł, rywującą w rejonie prac kadlowych nie odpomiana na wywołanie odbiór."
turbo,06_vhf_pl_voice_report,pl,typical,espeak-ng:pl,25.25,11.703,0.463,0.5,0.182,"Dynia radio, dynia radio, tu jednostka Bałtyk, Bałtyk, odbiór, tu dynia radio, Bałtyk, odbiór, dynia radio, tu Bałtyk, moja pomybnia 54 stopnie 30 minuty, północne o 18 stopni 48 minut, wśród obfirmuje jednostkę bez świateł w rytu, w rejonie płatka, dla mych nieodpomiana, a wymołanie odbiór."
turbo,06_vhf_pl_voice_report,pl,harsh,espeak-ng:pl,25.25,12.868,0.51,0.979,0.091,"Wynia radio, radio jednostka, małty, pałty, czosnów Wynia radio, pałty, czosnów Wynia radio, pałty, czosnów Wynia radio, czosnów, wazwych moja policja 54 stopnie 30 minut Wynia radio, czosnęło 18 stopni 45 minut Wynia radio, pałty, czosnów, wynia radio, pałty, czosnów, wynia radio, pałty, czosnów, wynia radio, pałty, czosnów, wynia radio, pałty, czosnów"
turbo,06_vhf_pl_voice_report,pl,clean,espeak-ng:pl+f3,25.02,10.04,0.401,0.396,0.182,"Gdynia radio, Gdynia radio, tu jednostka Małtyk, Małtyk odbiór, Gdynia radio, Małtyk odbiór, Gdynia radio, tu Małtyk, moja pozycja 54 stopnie, 30 minuty północnego, 18 stopni 48 minut, wschód obserwuje jednostkę bez świateł rysującą w rejonie prac kadłowych, nie odpogiada na wymowanie odbiór."
turbo,06_vhf_pl_voice_report,pl,typical,espeak-ng:pl+f3,25.08,10.157,0.405,0.479,0.182,"Zdynia radio, dynia radio tu jednostka, Bałtyk, Bałtyk, odbiór tu. Zdynia radio, Bałtyk, odbiór dynia radio tu, Bałtyk, moja pomysła 54 stopnie, 35 minuty, północnego 18 stopni 48 minut, tu obserwuję jednostkę bez dnia te utrypującą w rejonie praktykowych nieodponada na wymołanie odbiór."
turbo,06_vhf_pl_voice_report,pl,harsh,espeak-ng:pl+f3,25.08,12.578,0.502,0.729,0.273,"Dynia radio, na radio, jednostka, pałty, pałty, kączór Dynia radio, pałty, kączór Dynia radio, pałty, kączór Dynia radio, tu masz, koja, pobycia, pięt, cztery stopnie, trzydziestu, nie minuty, pustosne, do osiemnaście stopni, czteryście, pięt minut, czu to w ten uję jednostkę, bez dacie, wytując w rejonie, a w kawdowych, nie odstawa, na wywołanie odbiór"
turbo,07_vhf_en_voice_report,en,clean,espeak-ng:en-gb,25.97,11.924,0.459,0.243,0.833,"Tallinn Radio, Tallinn Radio, this is motor vessel, Nordlin, Nordlin call time, Lima, Alpha, Romeo, Lulu on channel one six, over Nordlin, this is Tallinn Radio, go ahead, over Tallinn Radio, this is Nordlin, secure it, secure it, we have a container, a drift in position, five, nine degrees, two, five, decimal, three minutes, north, nero, two, four degrees, four, nero, decimal, one minute, ceased container in partly submerged, danger to navigation, over."
turbo,07_vhf_en_voice_report,en,typical,espeak-ng:en-gb,26.03,11.509,0.442,0.486,0.222,"Tallinn Radio, Tallinn Radio, Nissen Motor, vessel Nordlin, Nordlin Call Time, Lima, Alpha, Romeo, Lulu, on Channel 1, 6, over Nordlin, Nissen Tallinn Radio, go ahead, over Tallinn Radio, Nissen Nordlin, Secure it, Secure it, we have a container of rips in permission, time 9 degrees, 2 times, decimal 3 minutes, north, nero 2, 4 degrees, 4 nero, decimal 1 minute, cease, container is partly submerged, danger, navigation, over."
turbo,07_vhf_en_voice_report,en,harsh,espeak-ng:en-gb,26.03,4.126,0.158,1.0,0.0,*Countains*
turbo,07_vhf_en_voice_report,en,clean,espeak-ng:en-us+m3,25.34,10.766,0.425,0.443,0.667,"Talon radio, Talon radio, this is motor vessel, Nordlin, Nordlin calls, I'm Lima, Alpha, Romano, Lulu on channel one, six, over Nordlin, this is Talon radio, go ahead, over Talon radio, this is Nordlin, secure it, secure it, we have a container, a brief information, I'm I'm Debrene, two, five, decimal three minutes, north, Nero, two, four, Debrene, four, Nero, decimal one minute, cease container in partly submerged, danger to navigation, over."
turbo,07_vhf_en_voice_report,en,typical,espeak-ng:en-us+m3,25.4,10.745,0.423,0.486,0.556,"Palin radio, palin radio, this is motor, vessel Nordlin, Nordlin, call time, Lima, Alpha, Romano, Lulu, on channel one, six, over Nordlin, this is palin radio, go ahead, over, palin radio, this is Nordlin, secure it, secure it, we have a container, a brief information, I'm, I'm the dream, I'm decimal three minutes, north, Nero, two, four, the dream, four, Nero, decimal one minute, cease, container in partly submerged, danger, navigation, over."
turbo,07_vhf_en_voice_report,en,harsh,espeak-ng:en-us+m3,25.4,4.422,0.174,0.914,0.0,"*Captainer is partly submerged, danger navigation over*"
